Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;Ja;Ja_Proz;Nein;Nein_Proz;
01;01 Bonn-Zentrum;1;1;8311;2924;35,18;;2921;;3;1434;49,09;1487;50,91;
02;02 Bonn-Castell / Rheindorf-Süd;1;1;7004;2454;35,04;;2443;;11;1377;56,37;1066;43,63;
03;03 Innere Nordstadt;1;1;8145;3053;37,48;;3046;;7;2127;69,83;919;30,17;
04;04 Baumschulviertel / Südstadt;1;1;8002;3307;41,33;;3301;;6;1518;45,99;1783;54,01;
05;05 Neu-Tannenbusch / Buschdorf;1;1;7215;2146;29,74;;2044;;102;899;43,98;1145;56,02;
06;06 Auerberg / Graurheindorf;1;1;8049;2304;28,62;;2300;;4;1019;44,30;1281;55,70;
07;07 Tannenbusch;1;1;6558;1630;24,86;;1585;;45;754;47,57;831;52,43;
08;08 Dransdorf / Lessenich / Meßdorf;1;1;6733;2180;32,38;;2174;;6;815;37,49;1359;62,51;
09;09 Endenich I;1;1;6143;2239;36,45;;2233;;6;952;42,63;1281;57,37;
10;10 Poppelsdorf;1;1;6777;2642;38,98;;2629;;13;1073;40,81;1556;59,19;
11;11 Kessenich;1;1;8049;3449;42,85;;3443;;6;1217;35,35;2226;64,65;
12;12 Dottendorf / Gronau;1;1;7866;3863;49,11;;3854;;9;1219;31,63;2635;68,37;
13;13 Äußere Nordstadt;1;1;6299;2248;35,69;;2238;;10;1463;65,37;775;34,63;
14;14 Endenich II;1;1;6678;2245;33,62;;2242;;3;1024;45,67;1218;54,33;
15;15 Venusberg / Ippendorf;1;1;7018;2984;42,52;;2978;;6;1017;34,15;1961;65,85;
16;16 Röttgen / Ückesdorf;1;1;6259;2667;42,61;;2659;;8;786;29,56;1873;70,44;
21;21 Friesdorf;1;1;6334;3134;49,48;;3134;;0;1469;46,87;1665;53,13;
22;22 Villenviertel / Rüngsdorf;1;1;8312;4388;52,79;;4384;;4;3076;70,16;1308;29,84;
23;23 Plittersdorf / Hochkreuz;1;1;9111;4299;47,18;;4296;;3;2602;60,57;1694;39,43;
24;24 Bad Godesberg-Mitte;1;1;7540;3566;47,29;;3560;;6;2574;72,30;986;27,70;
25;25 Heiderhof / Muffendorf;1;1;6192;3336;53,88;;3331;;5;2489;74,72;842;25,28;
26;26 Pennenfeld / Lannesdorf;1;1;8063;3807;47,22;;3732;;75;2761;73,98;971;26,02;
27;27 Mehlem;1;1;8484;3507;41,34;;3502;;5;2560;73,10;942;26,90;
31;31 Beuel-Zentrum;1;1;6585;2083;31,63;;2078;;5;980;47,16;1098;52,84;
32;32Schwarzrheindorf/Vilich-Rheindorf/Combahnviertel;1;1;7056;2681;38,00;;2678;;3;1138;42,49;1540;57,51;
33;33 Pützchen / Bechlinghoven / Holtorf / Ungarten;1;1;6047;2221;36,73;;2140;;81;761;35,56;1379;64,44;
34;34 Beuel-Süd / Limperich;1;1;8376;3178;37,94;;3167;;11;1286;40,61;1881;59,39;
35;35 Holzlar / Hoholz;1;1;8382;2844;33,93;;2793;;51;1066;38,17;1727;61,83;
36;36 Küdinghoven / Ramersdorf / Oberkassel;1;1;9390;3617;38,52;;3611;;6;1372;38,00;2239;62,00;
37;37 Vilich / Geislar / Vilich-Müldorf;1;1;8100;3070;37,90;;2969;;101;1026;34,56;1943;65,44;
41;41 Lengsdorf / Brüser Berg;1;1;8443;3271;38,74;;3265;;6;993;30,41;2272;69,59;
42;42 Duisdorf / Finkenhof / Lengsdorf;1;1;8962;3398;37,92;;3393;;5;1030;30,36;2363;69,64;
43;43 Duisdorf / Medinghoven;1;1;8012;2841;35,46;;2837;;4;1011;35,64;1826;64,36;
